#group,false,false,false,false,false,false
#datatype,string,long,dateTime:RFC3339,string,string,double
#default,_result,,,,,
,result,table,_time,_measurement,host,usage_user
,,0,2021-05-09T20:06:50Z,cpu,Orient.local,3.2012004501408344
,,0,2021-05-09T20:07:00Z,cpu,tortuga,0.10944340212682518
,,0,2021-05-09T20:07:00Z,cpu,Orient.local,2.8090590591213203
,,0,2021-05-09T20:07:10Z,cpu,Orient.local,3.4723957031540738
,,0,2021-05-09T20:07:10Z,cpu,tortuga,0.05626582476327942
,,0,2021-05-09T20:07:20Z,cpu,tortuga,0.04688818730254332
,,0,2021-05-09T20:07:20Z,cpu,Orient.local,2.6697511567351997
,,0,2021-05-09T20:07:30Z,cpu,Orient.local,2.013632668309703
,,0,2021-05-09T20:07:30Z,cpu,tortuga,0.10315078769692551
,,0,2021-05-09T20:07:40Z,cpu,Orient.local,1.9976278169680137
,,0,2021-05-09T20:07:40Z,cpu,tortuga,0.04376230814953321
,,0,2021-05-09T20:07:50Z,cpu,Orient.local,1.8447396588809573
,,0,2021-05-09T20:07:50Z,cpu,tortuga,0.05939356048734674
,,0,2021-05-09T20:08:00Z,cpu,tortuga,0.03438682046955418
,,0,2021-05-09T20:08:00Z,cpu,Orient.local,3.021654153890238
,,0,2021-05-09T20:08:10Z,cpu,Orient.local,2.8373226673935656
,,0,2021-05-09T20:08:10Z,cpu,tortuga,0.11561054868141951
,,0,2021-05-09T20:08:20Z,cpu,Orient.local,2.9558805148634373
,,0,2021-05-09T20:08:20Z,cpu,tortuga,0.06877579092198356
,,0,2021-05-09T20:08:30Z,cpu,tortuga,0.23150320663191595
,,0,2021-05-09T20:08:30Z,cpu,Orient.local,1.7555916531388371
,,0,2021-05-09T20:08:40Z,cpu,Orient.local,1.625914576898536
,,0,2021-05-09T20:08:40Z,cpu,tortuga,0.11258443832900729
,,0,2021-05-09T20:08:50Z,cpu,Orient.local,1.6875000001164153
,,0,2021-05-09T20:08:50Z,cpu,tortuga,0.13120899718855406
,,0,2021-05-09T20:09:00Z,cpu,tortuga,0.06563525550836213
,,0,2021-05-09T20:09:00Z,cpu,Orient.local,2.681082432260705
,,0,2021-05-09T20:09:10Z,cpu,Orient.local,3.0448918345531792
,,0,2021-05-09T20:09:10Z,cpu,tortuga,0.06251758307043682
,,0,2021-05-09T20:09:20Z,cpu,Orient.local,3.0424189416316993
,,0,2021-05-09T20:09:20Z,cpu,tortuga,0.05313994560970072
,,0,2021-05-09T20:09:30Z,cpu,tortuga,0.06565372350369122
,,0,2021-05-09T20:09:30Z,cpu,Orient.local,2.6690836353964644
,,0,2021-05-09T20:09:40Z,cpu,Orient.local,1.6816704177056239
,,0,2021-05-09T20:09:40Z,cpu,tortuga,0.037509377344594995
,,0,2021-05-09T20:09:50Z,cpu,tortuga,0.05313662363649271
,,0,2021-05-09T20:09:50Z,cpu,Orient.local,2.3630907725518764
,,0,2021-05-09T20:10:00Z,cpu,Orient.local,2.3050974514106506
,,0,2021-05-09T20:10:00Z,cpu,tortuga,0.050015629884380734
,,0,2021-05-09T20:10:10Z,cpu,Orient.local,2.1539236679051625
,,0,2021-05-09T20:10:10Z,cpu,tortuga,0.12189404594407115
,,0,2021-05-09T20:10:20Z,cpu,tortuga,0.11255627813930397
,,0,2021-05-09T20:10:20Z,cpu,Orient.local,3.058122945310659
,,0,2021-05-09T20:10:30Z,cpu,Orient.local,2.844105513144081
,,0,2021-05-09T20:10:30Z,cpu,tortuga,0.17196635712745703
,,0,2021-05-09T20:10:40Z,cpu,Orient.local,1.5051325651135727
,,0,2021-05-09T20:10:40Z,cpu,tortuga,0.07813232490529615
,,0,2021-05-09T20:10:50Z,cpu,Orient.local,1.4688418025061936
,,0,2021-05-09T20:10:50Z,cpu,tortuga,0.050014066456267624
,,0,2021-05-09T20:11:00Z,cpu,tortuga,0.10628985869678455
,,0,2021-05-09T20:11:00Z,cpu,Orient.local,1.4770682058471134
,,0,2021-05-09T20:11:10Z,cpu,tortuga,0.0531416067522256
,,0,2021-05-09T20:11:10Z,cpu,Orient.local,1.468291159021216
,,0,2021-05-09T20:11:20Z,cpu,tortuga,0.08441984804439034
,,0,2021-05-09T20:11:20Z,cpu,Orient.local,5.019377421830567
,,0,2021-05-09T20:11:30Z,cpu,Orient.local,9.100568785889163
,,0,2021-05-09T20:11:30Z,cpu,tortuga,0.17817511175000578
,,0,2021-05-09T20:11:40Z,cpu,Orient.local,6.961629796068825
,,0,2021-05-09T20:11:40Z,cpu,tortuga,0.08126015751976765
,,0,2021-05-09T20:11:50Z,cpu,tortuga,0.10940919037229609
,,0,2021-05-09T20:11:50Z,cpu,Orient.local,2.8967254409190564
,,0,2021-05-09T20:12:00Z,cpu,tortuga,0.11248593925686588
,,0,2021-05-09T20:12:00Z,cpu,Orient.local,1.8750776108120708
,,0,2021-05-09T20:12:10Z,cpu,Orient.local,1.349072512600226
,,0,2021-05-09T20:12:10Z,cpu,tortuga,0.14061621148720585
,,0,2021-05-09T20:12:20Z,cpu,tortuga,0.09689922480606492
,,0,2021-05-09T20:12:20Z,cpu,Orient.local,3.494082095140776
,,0,2021-05-09T20:12:30Z,cpu,tortuga,0.10941603101178132
,,0,2021-05-09T20:12:30Z,cpu,Orient.local,2.9738622960513816
,,0,2021-05-09T20:12:40Z,cpu,Orient.local,6.77955432459967
,,0,2021-05-09T20:12:40Z,cpu,tortuga,0.06876934137702563
,,0,2021-05-09T20:12:50Z,cpu,tortuga,0.05626934258650025
,,0,2021-05-09T20:12:50Z,cpu,Orient.local,6.282560158618939
,,0,2021-05-09T20:13:00Z,cpu,Orient.local,3.388347086851732
,,0,2021-05-09T20:13:00Z,cpu,tortuga,0.07190421108580133
,,0,2021-05-09T20:13:10Z,cpu,tortuga,0.10937841807560215
,,0,2021-05-09T20:13:10Z,cpu,Orient.local,5.293749999982538
,,0,2021-05-09T20:13:20Z,cpu,tortuga,0.046891118821894
,,0,2021-05-09T20:13:20Z,cpu,Orient.local,2.9626851677785364
,,0,2021-05-09T20:13:30Z,cpu,Orient.local,2.9299681390352275
,,0,2021-05-09T20:13:30Z,cpu,tortuga,0.20000625019614757
,,0,2021-05-09T20:13:40Z,cpu,Orient.local,3.2758189545619723
,,0,2021-05-09T20:13:40Z,cpu,tortuga,0.053138284571023216
,,0,2021-05-09T20:13:50Z,cpu,Orient.local,3.665218212967468
,,0,2021-05-09T20:13:50Z,cpu,tortuga,0.05627110166323431
,,0,2021-05-09T20:14:00Z,cpu,Orient.local,3.4073982124057904
,,0,2021-05-09T20:14:00Z,cpu,tortuga,0.05626758361950186
,,0,2021-05-09T20:14:10Z,cpu,tortuga,0.11875000000031832
,,0,2021-05-09T20:14:10Z,cpu,Orient.local,2.7614644508717987
,,0,2021-05-09T20:14:20Z,cpu,Orient.local,3.0556770604675956
,,0,2021-05-09T20:14:20Z,cpu,tortuga,0.08753008846820728
,,0,2021-05-09T20:14:30Z,cpu,tortuga,0.06877794103831816
,,0,2021-05-09T20:14:30Z,cpu,Orient.local,2.6319079769562492
,,0,2021-05-09T20:14:40Z,cpu,tortuga,0.0781298831178131
,,0,2021-05-09T20:14:40Z,cpu,Orient.local,2.6185863384750006
,,0,2021-05-09T20:14:50Z,cpu,Orient.local,1.3931405010165687
,,0,2021-05-09T20:14:50Z,cpu,tortuga,0.07502579011514413
,,0,2021-05-09T20:15:00Z,cpu,tortuga,0.06563935860948411
,,0,2021-05-09T20:15:00Z,cpu,Orient.local,1.5441360339824048
,,0,2021-05-09T20:15:10Z,cpu,Orient.local,1.5008442249274911
,,0,2021-05-09T20:15:10Z,cpu,tortuga,0.15938994280687235
,,0,2021-05-09T20:15:20Z,cpu,Orient.local,1.4684746609028283
,,0,2021-05-09T20:15:20Z,cpu,tortuga,0.15636727545670176
,,0,2021-05-09T20:15:30Z,cpu,tortuga,0.09064482855634015
,,0,2021-05-09T20:15:30Z,cpu,Orient.local,1.544136034054327
,,0,2021-05-09T20:15:40Z,cpu,Orient.local,1.7934137349811783
,,0,2021-05-09T20:15:40Z,cpu,tortuga,0.04063769928084612
,,0,2021-05-09T20:15:50Z,cpu,tortuga,0.11877598224654537
,,0,2021-05-09T20:15:50Z,cpu,Orient.local,1.4687499999126885
,,0,2021-05-09T20:16:00Z,cpu,Orient.local,1.4937500000814907
,,0,2021-05-09T20:16:00Z,cpu,tortuga,0.059384278793117584
,,0,2021-05-09T20:16:10Z,cpu,tortuga,0.09374414099138723
,,0,2021-05-09T20:16:10Z,cpu,Orient.local,2.037882102915301
,,0,2021-05-09T20:16:20Z,cpu,tortuga,0.09689619604281545
,,0,2021-05-09T20:16:20Z,cpu,Orient.local,2.3126445402245066
,,0,2021-05-09T20:16:30Z,cpu,Orient.local,2.4315539441155782
,,0,2021-05-09T20:16:30Z,cpu,tortuga,0.05939541717487526
,,0,2021-05-09T20:16:40Z,cpu,Orient.local,2.2366612521478344
,,0,2021-05-09T20:16:40Z,cpu,tortuga,0.050017193410096084
,,0,2021-05-09T20:16:50Z,cpu,tortuga,0.1188094047021563
,,0,2021-05-09T20:16:50Z,cpu,Orient.local,3.5636136291636324
,,0,2021-05-09T20:17:00Z,cpu,tortuga,0.0875000000004593
,,0,2021-05-09T20:17:00Z,cpu,Orient.local,3.0109945028229843
,,0,2021-05-09T20:17:10Z,cpu,tortuga,0.059400987932317316
,,0,2021-05-09T20:17:10Z,cpu,Orient.local,2.8201600800143103
,,0,2021-05-09T20:17:20Z,cpu,tortuga,0.0781518647033462
,,0,2021-05-09T20:17:20Z,cpu,Orient.local,2.4878109762955205
,,0,2021-05-09T20:17:30Z,cpu,tortuga,0.12499609387204012
,,0,2021-05-09T20:17:30Z,cpu,Orient.local,1.5249046934416177
,,0,2021-05-09T20:17:40Z,cpu,Orient.local,4.042057545948878
,,0,2021-05-09T20:17:40Z,cpu,tortuga,0.03751289505796559
,,0,2021-05-09T20:17:50Z,cpu,tortuga,0.05939356048717383
,,0,2021-05-09T20:17:50Z,cpu,Orient.local,4.037247672049854
,,0,2021-05-09T20:18:00Z,cpu,Orient.local,4.075509438585187
,,0,2021-05-09T20:18:00Z,cpu,tortuga,0.07813720893907866
,,0,2021-05-09T20:18:10Z,cpu,tortuga,0.056267583619906664
,,0,2021-05-09T20:18:10Z,cpu,Orient.local,2.705721732563912
,,0,2021-05-09T20:18:20Z,cpu,tortuga,0.08128302122741346
,,0,2021-05-09T20:18:20Z,cpu,Orient.local,2.222222222218965
,,0,2021-05-09T20:18:30Z,cpu,Orient.local,2.4375000000873115
,,0,2021-05-09T20:18:30Z,cpu,tortuga,0.08126523723194513
,,0,2021-05-09T20:18:40Z,cpu,tortuga,0.05938427879368611
,,0,2021-05-09T20:18:40Z,cpu,Orient.local,2.593912119536231
,,0,2021-05-09T20:18:50Z,cpu,Orient.local,2.2212570577866764
,,0,2021-05-09T20:18:50Z,cpu,tortuga,0.05313330207859623
,,0,2021-05-09T20:19:00Z,cpu,Orient.local,2.459478064933223
,,0,2021-05-09T20:19:00Z,cpu,tortuga,0.11250351573407415
,,0,2021-05-09T20:19:10Z,cpu,Orient.local,2.7807286133351776
,,0,2021-05-09T20:19:10Z,cpu,tortuga,0.171907232606735
,,0,2021-05-09T20:19:20Z,cpu,tortuga,0.06563320415025357
,,0,2021-05-09T20:19:20Z,cpu,Orient.local,3.402422274917951
,,0,2021-05-09T20:19:30Z,cpu,tortuga,0.10626992561127079
,,0,2021-05-09T20:19:30Z,cpu,Orient.local,4.025251578281754
,,0,2021-05-09T20:19:40Z,cpu,Orient.local,2.3852980047770185
,,0,2021-05-09T20:19:40Z,cpu,tortuga,0.07187499999986358
,,0,2021-05-09T20:19:50Z,cpu,Orient.local,1.794696640445253
,,0,2021-05-09T20:19:50Z,cpu,tortuga,0.03438467068879711
,,0,2021-05-09T20:20:00Z,cpu,tortuga,0.05001250312574761
,,0,2021-05-09T20:20:00Z,cpu,Orient.local,3.722208343781279
,,0,2021-05-09T20:20:10Z,cpu,Orient.local,3.8514442916143596
,,0,2021-05-09T20:20:10Z,cpu,tortuga,0.0969477107829958
,,0,2021-05-09T20:20:20Z,cpu,Orient.local,3.1498031373682664
,,0,2021-05-09T20:20:20Z,cpu,tortuga,0.07502344482635269
,,0,2021-05-09T20:20:30Z,cpu,Orient.local,2.4682871961032364
,,0,2021-05-09T20:20:30Z,cpu,tortuga,0.06253126563307303
,,0,2021-05-09T20:20:40Z,cpu,Orient.local,2.5515947466681794
,,0,2021-05-09T20:20:40Z,cpu,tortuga,0.07501640983943571
,,0,2021-05-09T20:20:50Z,cpu,Orient.local,1.2939117390346357
,,0,2021-05-09T20:20:50Z,cpu,tortuga,0.10943655806424141
,,0,2021-05-09T20:21:00Z,cpu,Orient.local,1.7621695930833938
,,0,2021-05-09T20:21:00Z,cpu,tortuga,0.124968757810041
,,0,2021-05-09T20:21:10Z,cpu,tortuga,0.04376230814909202
,,0,2021-05-09T20:21:10Z,cpu,Orient.local,1.9811261797385502
,,0,2021-05-09T20:21:20Z,cpu,tortuga,0.07502109968475162
,,0,2021-05-09T20:21:20Z,cpu,Orient.local,4.1488559213134115
,,0,2021-05-09T20:21:30Z,cpu,tortuga,0.05627637955250327
,,0,2021-05-09T20:21:30Z,cpu,Orient.local,7.473376097985014
,,0,2021-05-09T20:21:40Z,cpu,Orient.local,7.117750439406607
,,0,2021-05-09T20:21:40Z,cpu,tortuga,0.134362403524651
,,0,2021-05-09T20:21:50Z,cpu,tortuga,0.04376230814966062
,,0,2021-05-09T20:21:50Z,cpu,Orient.local,1.3747200795527503
,,0,2021-05-09T20:22:00Z,cpu,tortuga,0.08750273446002696
,,0,2021-05-09T20:22:00Z,cpu,Orient.local,1.6345374010395985
,,0,2021-05-09T20:22:10Z,cpu,tortuga,0.1000031250974985
,,0,2021-05-09T20:22:10Z,cpu,Orient.local,1.550000000060536
,,0,2021-05-09T20:22:20Z,cpu,tortuga,0.11256331686581408
,,0,2021-05-09T20:22:20Z,cpu,Orient.local,1.4756455948002678
,,0,2021-05-09T20:22:30Z,cpu,Orient.local,1.981002374853755
,,0,2021-05-09T20:22:30Z,cpu,tortuga,0.05942142298686765
,,0,2021-05-09T20:22:40Z,cpu,Orient.local,1.4131182391722874
,,0,2021-05-09T20:22:40Z,cpu,tortuga,0.12184453886507346
,,0,2021-05-09T20:22:50Z,cpu,Orient.local,1.3424914143158888
,,0,2021-05-09T20:22:50Z,cpu,tortuga,0.050020320755243874
,,0,2021-05-09T20:23:00Z,cpu,tortuga,0.05938427879368611
,,0,2021-05-09T20:23:00Z,cpu,Orient.local,1.4818983305232072
,,0,2021-05-09T20:23:10Z,cpu,tortuga,0.08127285799157703
,,0,2021-05-09T20:23:10Z,cpu,Orient.local,1.4164305948875628
,,0,2021-05-09T20:23:20Z,cpu,tortuga,0.05001562988423512
,,0,2021-05-09T20:23:20Z,cpu,Orient.local,1.3121719569307881
,,0,2021-05-09T20:23:30Z,cpu,Orient.local,1.4965226032500567
,,0,2021-05-09T20:23:30Z,cpu,tortuga,0.09065616305558591
,,0,2021-05-09T20:23:40Z,cpu,Orient.local,1.6437499998536078
,,0,2021-05-09T20:23:40Z,cpu,tortuga,0.09687802743898102
,,0,2021-05-09T20:23:50Z,cpu,Orient.local,1.3690066887931733
,,0,2021-05-09T20:23:50Z,cpu,tortuga,0.08438291089728779
,,0,2021-05-09T20:24:00Z,cpu,Orient.local,1.4431186355619778
,,0,2021-05-09T20:24:00Z,cpu,tortuga,0.08438818565434139
,,0,2021-05-09T20:24:10Z,cpu,tortuga,0.13443381479431388
,,0,2021-05-09T20:24:10Z,cpu,Orient.local,1.3312499999301508
,,0,2021-05-09T20:24:20Z,cpu,tortuga,0.08751093886731855
,,0,2021-05-09T20:24:20Z,cpu,Orient.local,1.3307509685046188
,,0,2021-05-09T20:24:30Z,cpu,tortuga,0.11252461475886927
,,0,2021-05-09T20:24:30Z,cpu,Orient.local,1.4631401238593007
,,0,2021-05-09T20:24:40Z,cpu,tortuga,0.046882325363902015
,,0,2021-05-09T20:24:40Z,cpu,Orient.local,1.8687499999941792
,,0,2021-05-09T20:24:50Z,cpu,Orient.local,1.4821763601632358
,,0,2021-05-09T20:24:50Z,cpu,tortuga,0.05001406645612202
,,0,2021-05-09T20:25:00Z,cpu,tortuga,0.05000781372096486
,,0,2021-05-09T20:25:00Z,cpu,Orient.local,1.2993503248381626
,,0,2021-05-09T20:25:10Z,cpu,Orient.local,1.7495626094679837
,,0,2021-05-09T20:25:10Z,cpu,tortuga,0.0781420935828166
,,0,2021-05-09T20:25:20Z,cpu,Orient.local,1.5568338126246164
,,0,2021-05-09T20:25:20Z,cpu,tortuga,0.09693255370372655
,,0,2021-05-09T20:25:30Z,cpu,tortuga,0.11247891020433527
,,0,2021-05-09T20:25:30Z,cpu,Orient.local,1.4564320538698012
,,0,2021-05-09T20:25:40Z,cpu,Orient.local,3.2654581574793298
,,0,2021-05-09T20:25:40Z,cpu,tortuga,0.09062783211939485
,,0,2021-05-09T20:25:50Z,cpu,tortuga,0.04689551678856866
,,0,2021-05-09T20:25:50Z,cpu,Orient.local,8.685328667968852
,,0,2021-05-09T20:26:00Z,cpu,tortuga,0.08752461629849784
,,0,2021-05-09T20:26:00Z,cpu,Orient.local,2.3694904657496947
,,0,2021-05-09T20:26:10Z,cpu,tortuga,0.09695680730586972
,,0,2021-05-09T20:26:10Z,cpu,Orient.local,2.507974232281171
,,0,2021-05-09T20:26:20Z,cpu,tortuga,0.1562207086173343
,,0,2021-05-09T20:26:20Z,cpu,Orient.local,2.0586400498285014
,,0,2021-05-09T20:26:30Z,cpu,Orient.local,2.1637170908887047
,,0,2021-05-09T20:26:30Z,cpu,tortuga,0.07189072609662336
,,0,2021-05-09T20:26:40Z,cpu,tortuga,0.06565167099123548
,,0,2021-05-09T20:26:40Z,cpu,Orient.local,1.7254313578356382
,,0,2021-05-09T20:26:50Z,cpu,tortuga,0.06251758307043682
,,0,2021-05-09T20:26:50Z,cpu,Orient.local,1.8263681907721103
,,0,2021-05-09T20:27:00Z,cpu,tortuga,0.06563525550836213
,,0,2021-05-09T20:27:00Z,cpu,Orient.local,3.8861858718729536
,,0,2021-05-09T20:27:10Z,cpu,Orient.local,1.7904094152783647
,,0,2021-05-09T20:27:10Z,cpu,tortuga,0.0813008130082457
,,0,2021-05-09T20:27:20Z,cpu,Orient.local,2.390910793403691
,,0,2021-05-09T20:27:20Z,cpu,tortuga,0.04690138202723295
,,0,2021-05-09T20:27:30Z,cpu,tortuga,0.0719064590758432
,,0,2021-05-09T20:27:30Z,cpu,Orient.local,5.024057989112892
,,0,2021-05-09T20:27:40Z,cpu,tortuga,0.04689405070840218
,,0,2021-05-09T20:27:40Z,cpu,Orient.local,3.410794602713479
,,0,2021-05-09T20:27:50Z,cpu,tortuga,0.08126269729590496
,,0,2021-05-09T20:27:50Z,cpu,Orient.local,4.8211605802129425
,,0,2021-05-09T20:28:00Z,cpu,Orient.local,4.2499207104451395
,,0,2021-05-09T20:28:00Z,cpu,tortuga,0.04063642899607282
,,0,2021-05-09T20:28:10Z,cpu,Orient.local,1.4966740577584128
,,0,2021-05-09T20:28:10Z,cpu,tortuga,0.10942287250672073
,,0,2021-05-09T20:28:20Z,cpu,tortuga,0.0969052829009166
,,0,2021-05-09T20:28:20Z,cpu,Orient.local,1.3617340246033889
,,0,2021-05-09T20:28:30Z,cpu,Orient.local,1.334419245598679
,,0,2021-05-09T20:28:30Z,cpu,tortuga,0.11561054868131501
,,0,2021-05-09T20:28:40Z,cpu,tortuga,0.09999062587923341
,,0,2021-05-09T20:28:40Z,cpu,Orient.local,1.7282256051896834
,,0,2021-05-09T20:28:50Z,cpu,Orient.local,1.538461538452578
,,0,2021-05-09T20:28:50Z,cpu,tortuga,0.046891118821894
,,0,2021-05-09T20:29:00Z,cpu,Orient.local,1.4626828354367856
,,0,2021-05-09T20:29:00Z,cpu,tortuga,0.10312822275686638
,,0,2021-05-09T20:29:10Z,cpu,tortuga,0.11564668375330577
,,0,2021-05-09T20:29:10Z,cpu,Orient.local,3.0447014692222694
,,0,2021-05-09T20:29:20Z,cpu,tortuga,0.07813232490552356
,,0,2021-05-09T20:29:20Z,cpu,Orient.local,4.515927545230531
,,0,2021-05-09T20:29:30Z,cpu,Orient.local,4.399175154503518
,,0,2021-05-09T20:29:30Z,cpu,tortuga,0.06878654285066876
,,0,2021-05-09T20:29:40Z,cpu,Orient.local,1.9142946512526458
,,0,2021-05-09T20:29:40Z,cpu,tortuga,0.046883790710720984
,,0,2021-05-09T20:29:50Z,cpu,tortuga,0.04063515879002529
,,0,2021-05-09T20:29:50Z,cpu,Orient.local,1.5269593867935853
,,0,2021-05-09T20:30:00Z,cpu,tortuga,0.04063388866281446
,,0,2021-05-09T20:30:00Z,cpu,Orient.local,1.4361439841708061
,,0,2021-05-09T20:30:10Z,cpu,tortuga,0.2406926948211433
,,0,2021-05-09T20:30:10Z,cpu,Orient.local,1.531632908189385
,,0,2021-05-09T20:30:20Z,cpu,tortuga,0.11248945411287133
,,0,2021-05-09T20:30:20Z,cpu,Orient.local,1.5401191533459744
,,0,2021-05-09T20:30:30Z,cpu,Orient.local,2.771106595223525
,,0,2021-05-09T20:30:30Z,cpu,tortuga,0.10942629357567314
,,0,2021-05-09T20:30:40Z,cpu,Orient.local,7.344385361201906
,,0,2021-05-09T20:30:40Z,cpu,tortuga,0.06565577614524902
,,0,2021-05-09T20:30:50Z,cpu,Orient.local,7.26249999992433
